seed,rows,columns,method,iter,time,of,flagSolver
0,3,3,solver,-1,0.06579756736755371,9185.0,1
0,3,3,random,1000,0.6025063991546631,10824.0,1
0,3,3,PDF,1000,0.647188663482666,9185.0,1
0,3,3,BIC,1000,0.9545798301696777,9185.0,1
0,3,3,N21,1000,2.4246184825897217,16497.0,1
0,3,3,12N,1000,2.133321762084961,10969.0,1
1,3,3,solver,-1,0.09870314598083496,6292.0,1
1,3,3,random,1000,0.5675499439239502,7274.0,1
1,3,3,PDF,1000,0.5332076549530029,6292.0,1
1,3,3,BIC,1000,0.7081961631774902,6292.0,1
1,3,3,N21,1000,2.2938897609710693,8291.0,1
1,3,3,12N,1000,1.965700626373291,13326.0,1
2,3,3,solver,-1,0.057813167572021484,5448.0,1
2,3,3,random,1000,0.5615384578704834,5965.0,1
2,3,3,PDF,1000,0.5332176685333252,5448.0,1
2,3,3,BIC,1000,0.725114107131958,5448.0,1
2,3,3,N21,1000,2.258223533630371,14067.0,1
2,3,3,12N,1000,1.974252700805664,5448.0,1
3,3,3,solver,-1,0.05881166458129883,4549.0,1
3,3,3,random,1000,0.6329731941223145,8055.0,1
3,3,3,PDF,1000,0.5206823348999023,4549.0,1
3,3,3,BIC,1000,0.6355454921722412,4549.0,1
3,3,3,N21,1000,2.3229732513427734,9363.0,1
3,3,3,12N,1000,2.081029176712036,8055.0,1
4,3,3,solver,-1,0.09772539138793945,4953.0,1
4,3,3,random,1000,0.5665585994720459,8035.0,1
4,3,3,PDF,1000,0.5585544109344482,4953.0,1
4,3,3,BIC,1000,0.6748218536376953,4953.0,1
4,3,3,N21,1000,2.682647228240967,5876.0,1
4,3,3,12N,1000,2.151076555252075,17645.0,1
5,3,3,solver,-1,0.061801910400390625,3665.0,1
5,3,3,random,1000,0.5667469501495361,10064.0,1
5,3,3,PDF,1000,0.49494385719299316,3665.0,1
5,3,3,BIC,1000,0.619962215423584,3665.0,1
5,3,3,N21,1000,2.3435420989990234,10324.0,1
5,3,3,12N,1000,1.9110620021820068,10324.0,1
6,3,3,solver,-1,0.09773778915405273,8298.0,1
6,3,3,random,1000,0.6313149929046631,13017.0,1
6,3,3,PDF,1000,0.5605747699737549,8298.0,1
6,3,3,BIC,1000,0.9199180603027344,8298.0,1
6,3,3,N21,1000,2.172121286392212,21984.0,1
6,3,3,12N,1000,2.141202449798584,8298.0,1
7,3,3,solver,-1,0.22336935997009277,9213.0,1
7,3,3,random,1000,0.5694806575775146,9886.0,1
7,3,3,PDF,1000,0.5716941356658936,9213.0,1
7,3,3,BIC,1000,0.8892834186553955,9213.0,1
7,3,3,N21,1000,2.2089273929595947,17370.0,1
7,3,3,12N,1000,2.2351343631744385,9886.0,1
8,3,3,solver,-1,0.06479024887084961,7606.0,1
8,3,3,random,1000,0.5915517807006836,9198.0,1
8,3,3,PDF,1000,0.5592648983001709,7606.0,1
8,3,3,BIC,1000,0.7100701332092285,7606.0,1
8,3,3,N21,1000,2.1683096885681152,17371.0,1
8,3,3,12N,1000,1.9816572666168213,17002.0,1
9,3,3,solver,-1,0.0887598991394043,11480.0,1
9,3,3,random,1000,0.6496083736419678,11758.0,1
9,3,3,PDF,1000,0.5762073993682861,11480.0,1
9,3,3,BIC,1000,0.8112258911132812,11480.0,1
9,3,3,N21,1000,2.350832462310791,22015.0,1
9,3,3,12N,1000,2.0454182624816895,18802.0,1
0,4,4,solver,-1,0.5959537029266357,20946.0,1
0,4,4,random,1000,1.5993983745574951,27876.0,1
0,4,4,PDF,1000,1.742814540863037,20946.0,1
0,4,4,BIC,1000,2.8909270763397217,20946.0,1
0,4,4,N21,1000,6.347296476364136,35423.0,1
0,4,4,12N,1000,5.531721830368042,27748.0,1
1,4,4,solver,-1,0.45470452308654785,15019.0,1
1,4,4,random,1000,1.5432534217834473,26125.0,1
1,4,4,PDF,1000,1.686119794845581,15019.0,1
1,4,4,BIC,1000,2.9817733764648438,15019.0,1
1,4,4,N21,1000,6.369510889053345,40340.0,1
1,4,4,12N,1000,6.224016189575195,27982.0,1
2,4,4,solver,-1,0.1007089614868164,13054.0,1
2,4,4,random,1000,1.20684814453125,24950.0,1
2,4,4,PDF,1000,1.4001188278198242,14969.0,1
2,4,4,BIC,1000,1.8797988891601562,13054.0,1
2,4,4,N21,1000,6.978127479553223,31500.0,1
2,4,4,12N,1000,6.641549110412598,16037.0,1
3,4,4,solver,-1,0.08580517768859863,12987.0,1
3,4,4,random,1000,1.3156421184539795,30387.0,1
3,4,4,PDF,1000,1.2269301414489746,12987.0,1
3,4,4,BIC,1000,1.5362162590026855,12987.0,1
3,4,4,N21,1000,6.2463767528533936,32383.0,1
3,4,4,12N,1000,7.951586484909058,23001.0,1
4,4,4,solver,-1,0.6122417449951172,18512.0,1
4,4,4,random,1000,1.5401060581207275,26619.0,1
4,4,4,PDF,1000,1.6968066692352295,18512.0,1
4,4,4,BIC,1000,2.743303060531616,18512.0,1
4,4,4,N21,1000,6.647559642791748,26137.0,1
4,4,4,12N,1000,6.734254360198975,29401.0,1
5,4,4,solver,-1,0.07630014419555664,6281.0,1
5,4,4,random,1000,1.2245430946350098,13762.0,1
5,4,4,PDF,1000,1.28474760055542,6281.0,1
5,4,4,BIC,1000,1.3825857639312744,6281.0,1
5,4,4,N21,1000,6.3626391887664795,22475.0,1
5,4,4,12N,1000,6.748883247375488,16890.0,1
6,4,4,solver,-1,0.17419886589050293,19116.0,1
6,4,4,random,1000,1.3036177158355713,27904.0,1
6,4,4,PDF,1000,1.4205875396728516,19116.0,1
6,4,4,BIC,1000,2.024376392364502,19116.0,1
6,4,4,N21,1000,7.357719659805298,39281.0,1
6,4,4,12N,1000,6.714775085449219,32999.0,1
7,4,4,solver,-1,0.14361572265625,19406.0,1
7,4,4,random,1000,1.331406593322754,30843.0,1
7,4,4,PDF,1000,1.3014318943023682,19406.0,1
7,4,4,BIC,1000,2.5588605403900146,19922.0,1
7,4,4,N21,1000,6.504940032958984,31152.0,1
7,4,4,12N,1000,6.403522729873657,29769.0,1
8,4,4,solver,-1,0.09674310684204102,12676.0,1
8,4,4,random,1000,1.380685567855835,27887.0,1
8,4,4,PDF,1000,1.4151129722595215,12732.0,1
8,4,4,BIC,1000,2.000897169113159,12676.0,1
8,4,4,N21,1000,6.631285190582275,29856.0,1
8,4,4,12N,1000,6.881502628326416,17275.0,1
9,4,4,solver,-1,0.833317756652832,26480.0,1
9,4,4,random,1000,1.2936642169952393,38488.0,1
9,4,4,PDF,1000,1.7266559600830078,26480.0,1
