seed,rows,columns,method,iter,time,of
0,4,4,solver,-1,2.474419355392456,20946.0
0,4,4,random,5,0.008012771606445312,43441.0
0,4,4,PDFT1,5,0.005949735641479492,35572.0
0,4,4,PDFT2,5,0.017984867095947266,25182.0
0,4,4,N21,5,0.031746625900268555,44601.0
0,4,4,12N,5,0.03789973258972168,44596.0
1,4,4,solver,-1,2.474419355392456,20946.0
1,4,4,random,5,0.006017446517944336,43282.0
1,4,4,PDFT1,5,0.007970094680786133,42131.0
1,4,4,PDFT2,5,0.014968633651733398,26936.0
1,4,4,N21,5,0.026925086975097656,47236.0
1,4,4,12N,5,0.031914472579956055,41375.0
2,4,4,solver,-1,2.474419355392456,20946.0
2,4,4,random,5,0.008946657180786133,55798.0
2,4,4,PDFT1,5,0.009973287582397461,30875.0
2,4,4,PDFT2,5,0.014962196350097656,25182.0
2,4,4,N21,5,0.029941558837890625,37842.0
2,4,4,12N,5,0.031914710998535156,36405.0
3,4,4,solver,-1,2.474419355392456,20946.0
3,4,4,random,5,0.008013248443603516,33939.0
3,4,4,PDFT1,5,0.007970094680786133,30964.0
3,4,4,PDFT2,5,0.013983964920043945,25182.0
3,4,4,N21,5,0.03286457061767578,35423.0
3,4,4,12N,5,0.030944347381591797,33165.0
4,4,4,solver,-1,2.474419355392456,20946.0
4,4,4,random,5,0.005984067916870117,63150.0
4,4,4,PDFT1,5,0.006015777587890625,42413.0
4,4,4,PDFT2,5,0.013963699340820312,28856.0
4,4,4,N21,5,0.02991938591003418,36807.0
4,4,4,12N,5,0.03291177749633789,51314.0
5,4,4,solver,-1,2.474419355392456,20946.0
5,4,4,random,5,0.007977962493896484,49370.0
5,4,4,PDFT1,5,0.0069811344146728516,36959.0
5,4,4,PDFT2,5,0.012965202331542969,24182.0
5,4,4,N21,5,0.02892303466796875,44601.0
5,4,4,12N,5,0.032936811447143555,50702.0
6,4,4,solver,-1,2.474419355392456,20946.0
6,4,4,random,5,0.005983114242553711,64264.0
6,4,4,PDFT1,5,0.012941837310791016,35012.0
6,4,4,PDFT2,5,0.013996124267578125,23236.0
6,4,4,N21,5,0.02595353126525879,45775.0
6,4,4,12N,5,0.03091597557067871,40231.0
7,4,4,solver,-1,2.474419355392456,20946.0
7,4,4,random,5,0.006016254425048828,58595.0
7,4,4,PDFT1,5,0.006981611251831055,41450.0
7,4,4,PDFT2,5,0.012964487075805664,24182.0
7,4,4,N21,5,0.030916213989257812,41539.0
7,4,4,12N,5,0.030917644500732422,38421.0
8,4,4,solver,-1,2.474419355392456,20946.0
8,4,4,random,5,0.006980180740356445,49692.0
8,4,4,PDFT1,5,0.005986213684082031,34608.0
8,4,4,PDFT2,5,0.014958620071411133,26472.0
8,4,4,N21,5,0.02991938591003418,36807.0
8,4,4,12N,5,0.02794933319091797,42660.0
9,4,4,solver,-1,2.474419355392456,20946.0
9,4,4,random,5,0.010965347290039062,48743.0
9,4,4,PDFT1,5,0.008986234664916992,39305.0
9,4,4,PDFT2,5,0.014989376068115234,28418.0
9,4,4,N21,5,0.030910015106201172,35423.0
9,4,4,12N,5,0.028922557830810547,43252.0
0,4,4,solver,-1,2.474419355392456,20946.0
0,4,4,random,10,0.014992237091064453,43441.0
0,4,4,PDFT1,10,0.018949270248413086,35142.0
0,4,4,PDFT2,10,0.027891874313354492,20946.0
0,4,4,N21,10,0.06386518478393555,37842.0
0,4,4,12N,10,0.05883979797363281,34115.0
1,4,4,solver,-1,2.474419355392456,20946.0
1,4,4,random,10,0.01595616340637207,43282.0
1,4,4,PDFT1,10,0.01795196533203125,36826.0
1,4,4,PDFT2,10,0.028959989547729492,27472.0
1,4,4,N21,10,0.06382560729980469,36807.0
1,4,4,12N,10,0.06385016441345215,38057.0
2,4,4,solver,-1,2.474419355392456,20946.0
2,4,4,random,10,0.01699090003967285,39717.0
2,4,4,PDFT1,10,0.012928485870361328,35607.0
2,4,4,PDFT2,10,0.028956174850463867,25182.0
2,4,4,N21,10,0.05984020233154297,41539.0
2,4,4,12N,10,0.057845354080200195,40740.0
3,4,4,solver,-1,2.474419355392456,20946.0
3,4,4,random,10,0.015967607498168945,33939.0
3,4,4,PDFT1,10,0.017925500869750977,35554.0
3,4,4,PDFT2,10,0.026952505111694336,24182.0
3,4,4,N21,10,0.06582307815551758,35423.0
3,4,4,12N,10,0.06087136268615723,37308.0
4,4,4,solver,-1,2.474419355392456,20946.0
4,4,4,random,10,0.012000560760498047,63150.0
4,4,4,PDFT1,10,0.015948772430419922,30890.0
4,4,4,PDFT2,10,0.028933286666870117,27472.0
4,4,4,N21,10,0.06183338165283203,35423.0
4,4,4,12N,10,0.06083488464355469,25774.0
5,4,4,solver,-1,2.474419355392456,20946.0
5,4,4,random,10,0.014958620071411133,49370.0
5,4,4,PDFT1,10,0.014960050582885742,26472.0
5,4,4,PDFT2,10,0.024933338165283203,23236.0
5,4,4,N21,10,0.05986618995666504,37842.0
5,4,4,12N,10,0.0648341178894043,33676.0
6,4,4,solver,-1,2.474419355392456,20946.0
6,4,4,random,10,0.014993906021118164,53312.0
6,4,4,PDFT1,10,0.018941640853881836,33588.0
6,4,4,PDFT2,10,0.028928279876708984,21239.0
6,4,4,N21,10,0.0598454475402832,35423.0
6,4,4,12N,10,0.05883908271789551,27455.0
7,4,4,solver,-1,2.474419355392456,20946.0
7,4,4,random,10,0.014992713928222656,53699.0
7,4,4,PDFT1,10,0.017976760864257812,26407.0
7,4,4,PDFT2,10,0.02293539047241211,20946.0
7,4,4,N21,10,0.0638282299041748,35423.0
7,4,4,12N,10,0.06380844116210938,31372.0
8,4,4,solver,-1,2.474419355392456,20946.0
8,4,4,random,10,0.019004344940185547,49692.0
8,4,4,PDFT1,10,0.018947124481201172,29292.0
8,4,4,PDFT2,10,0.02892279624938965,25056.0
8,4,4,N21,10,0.061838626861572266,37842.0
8,4,4,12N,10,0.0668184757232666,38198.0
9,4,4,solver,-1,2.474419355392456,20946.0
9,4,4,random,10,0.017005443572998047,48743.0
9,4,4,PDFT1,10,0.014904975891113281,29431.0
9,4,4,PDFT2,10,0.028969526290893555,22330.0
9,4,4,N21,10,0.06381535530090332,36807.0
9,4,4,12N,10,0.06682085990905762,33861.0
0,4,4,solver,-1,2.474419355392456,20946.0
0,4,4,random,50,0.07582211494445801,43212.0
0,4,4,PDFT1,50,0.08075737953186035,27498.0
0,4,4,PDFT2,50,0.13968181610107422,20946.0
0,4,4,N21,50,0.30316758155822754,35423.0
0,4,4,12N,50,0.33658647537231445,32707.0
1,4,4,solver,-1,2.474419355392456,20946.0
1,4,4,random,50,0.07579541206359863,37723.0
1,4,4,PDFT1,50,0.08181428909301758,30708.0
1,4,4,PDFT2,50,0.13563752174377441,22330.0
1,4,4,N21,50,0.31113696098327637,35423.0
1,4,4,12N,50,0.31319403648376465,34180.0
2,4,4,solver,-1,2.474419355392456,20946.0
2,4,4,random,50,0.07184076309204102,38265.0
2,4,4,PDFT1,50,0.08473896980285645,22330.0
2,4,4,PDFT2,50,0.145643949508667,24182.0
2,4,4,N21,50,0.3091747760772705,35423.0
2,4,4,12N,50,0.29121971130371094,31311.0
3,4,4,solver,-1,2.474419355392456,20946.0
3,4,4,random,50,0.07485580444335938,33939.0
3,4,4,PDFT1,50,0.07080817222595215,28839.0
3,4,4,PDFT2,50,0.14060449600219727,22330.0
3,4,4,N21,50,0.3002030849456787,35423.0
3,4,4,12N,50,0.2843770980834961,38384.0
4,4,4,solver,-1,2.474419355392456,20946.0
4,4,4,random,50,0.07457685470581055,40204.0
4,4,4,PDFT1,50,0.07376909255981445,24620.0
4,4,4,PDFT2,50,0.13168025016784668,22330.0
4,4,4,N21,50,0.3031885623931885,35423.0
4,4,4,12N,50,0.2752869129180908,36091.0
5,4,4,solver,-1,2.474419355392456,20946.0
5,4,4,random,50,0.07483339309692383,42264.0
