seed,rows,columns,method,iter,time,of
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,5,0.07780861854553223,272705.0
0,9,9,PDFT1,5,0.0688328742980957,193006.0
0,9,9,PDFT2,5,0.04083681106567383,440577.0
0,9,9,N21,5,0.43111324310302734,324461.0
0,9,9,12N,5,0.5015866756439209,244209.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,5,0.07086443901062012,283260.0
1,9,9,PDFT1,5,0.07636070251464844,186895.0
1,9,9,PDFT2,5,0.041889190673828125,440577.0
1,9,9,N21,5,0.5728633403778076,284379.0
1,9,9,12N,5,0.5460619926452637,267111.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,5,0.06492114067077637,199852.0
2,9,9,PDFT1,5,0.06710529327392578,194490.0
2,9,9,PDFT2,5,0.0480189323425293,440577.0
2,9,9,N21,5,0.5161571502685547,299358.0
2,9,9,12N,5,0.5138509273529053,244733.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,5,0.08207488059997559,261956.0
3,9,9,PDFT1,5,0.06397509574890137,440577.0
3,9,9,PDFT2,5,0.04593491554260254,440577.0
3,9,9,N21,5,0.28412652015686035,366628.0
3,9,9,12N,5,0.48795604705810547,259983.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,5,0.07084345817565918,277947.0
4,9,9,PDFT1,5,0.0631563663482666,440577.0
4,9,9,PDFT2,5,0.05786848068237305,440577.0
4,9,9,N21,5,0.4318835735321045,327446.0
4,9,9,12N,5,0.5135016441345215,243234.0
5,9,9,solver,-1,622.5034554004669,97666.0
5,9,9,random,5,0.06482601165771484,275631.0
5,9,9,PDFT1,5,0.06382918357849121,440577.0
5,9,9,PDFT2,5,0.04709053039550781,440577.0
5,9,9,N21,5,0.4928159713745117,300731.0
5,9,9,12N,5,0.5017309188842773,241801.0
6,9,9,solver,-1,622.5034554004669,97666.0
6,9,9,random,5,0.08481001853942871,272748.0
6,9,9,PDFT1,5,0.08878469467163086,162156.0
6,9,9,PDFT2,5,0.03789830207824707,440577.0
6,9,9,N21,5,0.47260379791259766,312967.0
6,9,9,12N,5,0.5055253505706787,256911.0
7,9,9,solver,-1,622.5034554004669,97666.0
7,9,9,random,5,0.07882285118103027,279469.0
7,9,9,PDFT1,5,0.06185603141784668,440577.0
7,9,9,PDFT2,5,0.041866302490234375,440577.0
7,9,9,N21,5,0.5877988338470459,275058.0
7,9,9,12N,5,0.5114827156066895,248376.0
8,9,9,solver,-1,622.5034554004669,97666.0
8,9,9,random,5,0.07007646560668945,268281.0
8,9,9,PDFT1,5,0.056987762451171875,440577.0
8,9,9,PDFT2,5,0.04796457290649414,440577.0
8,9,9,N21,5,0.4307899475097656,321273.0
8,9,9,12N,5,0.5184633731842041,253204.0
9,9,9,solver,-1,622.5034554004669,97666.0
9,9,9,random,5,0.05193734169006348,260292.0
9,9,9,PDFT1,5,0.05631566047668457,440577.0
9,9,9,PDFT2,5,0.044823408126831055,440577.0
9,9,9,N21,5,0.5638983249664307,273858.0
9,9,9,12N,5,0.5280704498291016,228109.0
0,9,9,solver,-1,622.5034554004669,97666.0
0,9,9,random,10,0.1346759796142578,268973.0
0,9,9,PDFT1,10,0.14466571807861328,151838.0
0,9,9,PDFT2,10,0.0857839584350586,440577.0
0,9,9,N21,10,1.0672354698181152,287124.0
0,9,9,12N,10,1.0432767868041992,232538.0
1,9,9,solver,-1,622.5034554004669,97666.0
1,9,9,random,10,0.13068723678588867,283260.0
1,9,9,PDFT1,10,0.1445770263671875,179677.0
1,9,9,PDFT2,10,0.08861804008483887,440577.0
1,9,9,N21,10,1.2427875995635986,250843.0
1,9,9,12N,10,1.0786259174346924,221512.0
2,9,9,solver,-1,622.5034554004669,97666.0
2,9,9,random,10,0.1263267993927002,199852.0
2,9,9,PDFT1,10,0.12470555305480957,440577.0
2,9,9,PDFT2,10,0.09232878684997559,440577.0
2,9,9,N21,10,1.1542315483093262,267421.0
2,9,9,12N,10,1.0066070556640625,236985.0
3,9,9,solver,-1,622.5034554004669,97666.0
3,9,9,random,10,0.13850617408752441,261956.0
3,9,9,PDFT1,10,0.14028406143188477,200898.0
3,9,9,PDFT2,10,0.08477330207824707,440577.0
3,9,9,N21,10,1.1168482303619385,272074.0
3,9,9,12N,10,1.025972604751587,235509.0
4,9,9,solver,-1,622.5034554004669,97666.0
4,9,9,random,10,0.16570138931274414,255845.0
4,9,9,PDFT1,10,0.13665032386779785,171560.0
4,9,9,PDFT2,10,0.08974146842956543,440577.0
