seed,row,column,method,iter,time,of,feseable
0,6,6,solver,0,4.734012365,30310,1
1,6,6,solver,0,2.872244596,41016,1
2,6,6,solver,0,24.83480787,41242,1
3,6,6,solver,0,5.427658796,41642,1
4,6,6,solver,0,8.976477623,41385,1
5,6,6,solver,0,4.553199291,37774,1
6,6,6,solver,0,2.831259966,36957,1
7,6,6,solver,0,7.868800163,42042,1
8,6,6,solver,0,4.773900747,49053,1
9,6,6,solver,0,7.78521347,35699,1
10,6,6,solver,0,5.109856606,32610,1
11,6,6,solver,0,2.136687756,49682,1
12,6,6,solver,0,2.566419363,38181,1
13,6,6,solver,0,5.106861591,32130,1
14,6,6,solver,0,1.956797123,30130,1
15,6,6,solver,0,0.478703022,32192,1
16,6,6,solver,0,2.352552176,33630,1
17,6,6,solver,0,22.00239205,42412,1
18,6,6,solver,0,9.139336824,35612,1
19,6,6,solver,0,41.12736607,50043,1
20,6,6,solver,0,4.375308275,32221,1
21,6,6,solver,0,25.11854792,49160,1
22,6,6,solver,0,4.02851963,36813,1
23,6,6,solver,0,5.736472607,31450,1
24,6,6,solver,0,11.65683103,39501,1
25,6,6,solver,0,14.05835223,33281,1
26,6,6,solver,0,13.61962152,40477,1
27,6,6,solver,0,16.74769926,42858,1
28,6,6,solver,0,5.963332653,42935,1
29,6,6,solver,0,15.40152812,37927,1
0,6,6,solver,1,4.185426474,30310,1
1,6,6,solver,1,3.211028099,41016,1
2,6,6,solver,1,20.14261055,41242,1
3,6,6,solver,1,3.454875231,41642,1
4,6,6,solver,1,6.141222,41385,1
5,6,6,solver,1,4.112471819,37774,1
6,6,6,solver,1,2.808273315,36957,1
7,6,6,solver,1,7.878156185,42042,1
8,6,6,solver,1,4.75707674,49053,1
9,6,6,solver,1,7.760227442,35699,1
10,6,6,solver,1,5.064886093,32610,1
11,6,6,solver,1,2.178659678,49682,1
12,6,6,solver,1,2.487470388,38181,1
13,6,6,solver,1,4.977935553,32130,1
14,6,6,solver,1,1.925815344,30130,1
15,6,6,solver,1,0.40375185,32192,1
16,6,6,solver,1,2.109702587,33630,1
17,6,6,solver,1,21.38284945,42412,1
18,6,6,solver,1,9.144373894,35612,1
19,6,6,solver,1,39.25758457,50043,1
20,6,6,solver,1,4.597172499,32221,1
21,6,6,solver,1,29.12808633,49160,1
22,6,6,solver,1,4.110471725,36813,1
23,6,6,solver,1,6.109243155,31450,1
24,6,6,solver,1,11.73278213,39501,1
25,6,6,solver,1,13.80351162,33281,1
26,6,6,solver,1,13.79251742,40477,1
27,6,6,solver,1,16.71572018,42858,1
28,6,6,solver,1,6.046281099,42935,1
29,6,6,solver,1,15.46648717,37927,1
0,6,6,solver,2,4.138454914,30310,1
1,6,6,solver,2,3.038129807,41016,1
2,6,6,solver,2,20.36147952,41242,1
3,6,6,solver,2,3.484857321,41642,1
4,6,6,solver,2,6.221174002,41385,1
5,6,6,solver,2,4.014531136,37774,1
6,6,6,solver,2,2.736320257,36957,1
7,6,6,solver,2,7.823186159,42042,1
8,6,6,solver,2,4.734087229,49053,1
9,6,6,solver,2,7.744236946,35699,1
10,6,6,solver,2,5.078873158,32610,1
11,6,6,solver,2,2.091714144,49682,1
12,6,6,solver,2,2.508459568,38181,1
13,6,6,solver,2,5.006920576,32130,1
14,6,6,solver,2,1.938808918,30130,1
15,6,6,solver,2,0.432733297,32192,1
16,6,6,solver,2,2.157672882,33630,1
17,6,6,solver,2,22.22133541,42412,1
18,6,6,solver,2,9.125386477,35612,1
19,6,6,solver,2,39.84948993,50043,1
20,6,6,solver,2,4.454261541,32221,1
21,6,6,solver,2,25.26146102,49160,1
22,6,6,solver,2,4.009533882,36813,1
23,6,6,solver,2,5.915362597,31450,1
24,6,6,solver,2,11.64183807,39501,1
25,6,6,solver,2,14.19727063,33281,1
26,6,6,solver,2,13.64960647,40477,1
27,6,6,solver,2,16.63576818,42858,1
28,6,6,solver,2,6.113239527,42935,1
29,6,6,solver,2,15.96817565,37927,1
0,6,6,solver,3,4.072496891,30310,1
1,6,6,solver,3,2.968174934,41016,1
2,6,6,solver,3,20.70626569,41242,1
3,6,6,solver,3,3.540823221,41642,1
4,6,6,solver,3,6.215177536,41385,1
5,6,6,solver,3,4.015530109,37774,1
6,6,6,solver,3,2.891224146,36957,1
7,6,6,solver,3,7.834181547,42042,1
8,6,6,solver,3,4.760071278,49053,1
9,6,6,solver,3,7.696267128,35699,1
10,6,6,solver,3,5.098862886,32610,1
11,6,6,solver,3,2.173661947,49682,1
12,6,6,solver,3,2.70933342,38181,1
13,6,6,solver,3,5.414669514,32130,1
14,6,6,solver,3,1.861854553,30130,1
15,6,6,solver,3,0.408748388,32192,1
16,6,6,solver,3,2.143682241,33630,1
17,6,6,solver,3,22.28429556,42412,1
18,6,6,solver,3,9.264304161,35612,1
19,6,6,solver,3,40.28822088,50043,1
20,6,6,solver,3,4.410285234,32221,1
21,6,6,solver,3,25.06858373,49160,1
22,6,6,solver,3,3.986548901,36813,1
23,6,6,solver,3,5.9703269,31450,1
24,6,6,solver,3,12.00661635,39501,1
25,6,6,solver,3,14.11531711,33281,1
26,6,6,solver,3,14.54405475,40477,1
27,6,6,solver,3,16.52683449,42858,1
28,6,6,solver,3,5.906368256,42935,1
29,6,6,solver,3,15.28559947,37927,1
0,6,6,solver,4,4.086487293,30310,1
1,6,6,solver,4,2.938194275,41016,1
2,6,6,solver,4,19.52199316,41242,1
3,6,6,solver,4,3.337946892,41642,1
4,6,6,solver,4,6.038285017,41385,1
5,6,6,solver,4,3.803660154,37774,1
6,6,6,solver,4,2.741314173,36957,1
7,6,6,solver,4,7.755230188,42042,1
8,6,6,solver,4,4.743082762,49053,1
9,6,6,solver,4,8.499774456,35699,1
