seed,rows,columns,method,iter,time,of
0,3,3,solver,-1,0.05098438262939453,12573.0
0,3,3,random,1000,0.7969889640808105,13477.0
0,3,3,PDF,1000,0.9220225811004639,12573.0
0,3,3,BIC,1000,1.1812677383422852,12573.0
0,3,3,N21,1000,3.172325372695923,23150.0
0,3,3,12N,1000,3.29219913482666,18290.0
0,3,4,solver,-1,0.22040987014770508,14693.0
0,3,4,random,1000,1.663466215133667,19144.0
0,3,4,PDF,1000,1.197462558746338,14693.0
0,3,4,BIC,1000,2.171226739883423,14693.0
0,3,4,N21,1000,5.095035076141357,29328.0
0,3,4,12N,1000,4.580134153366089,18115.0
0,3,5,solver,-1,0.512143611907959,14209.0
0,3,5,random,1000,1.7925219535827637,23008.0
0,3,5,PDF,1000,1.7633888721466064,14209.0
0,3,5,BIC,1000,2.4077231884002686,14209.0
0,3,5,N21,1000,7.36171817779541,22429.0
0,3,5,12N,1000,6.983014345169067,27918.0
0,3,6,solver,-1,0.06781911849975586,13287.0
0,3,6,random,1000,2.0131120681762695,29855.0
0,3,6,PDF,1000,2.2513949871063232,13287.0
0,3,6,BIC,1000,3.349989414215088,13287.0
0,3,6,N21,1000,10.698991537094116,44509.0
0,3,6,12N,1000,9.763198375701904,42755.0
0,3,7,solver,-1,0.8209249973297119,30475.0
0,3,7,random,1000,2.4076576232910156,47182.0
0,3,7,PDF,1000,3.054266929626465,30896.0
0,3,7,BIC,1000,4.170619249343872,30475.0
0,3,7,N21,1000,13.711583614349365,48831.0
0,3,7,12N,1000,11.870141744613647,44153.0
0,3,8,solver,-1,1.9384093284606934,29000.0
0,3,8,random,1000,2.4503157138824463,53508.0
0,3,8,PDF,1000,3.3647356033325195,30917.0
0,3,8,BIC,1000,5.481928825378418,31064.0
0,3,8,N21,1000,17.232381105422974,44222.0
0,3,8,12N,1000,14.905086040496826,62238.0
0,3,9,solver,-1,3.481282949447632,34317.0
0,3,9,random,1000,2.639897584915161,61721.0
0,3,9,PDF,1000,4.83461856842041,37489.0
0,3,9,BIC,1000,8.045916080474854,36112.0
0,3,9,N21,1000,24.797279834747314,51550.0
0,3,9,12N,1000,18.612903833389282,48846.0
0,4,3,solver,-1,0.04892921447753906,11393.0
0,4,3,random,1000,0.9479093551635742,13032.0
0,4,3,PDF,1000,0.9099304676055908,11393.0
0,4,3,BIC,1000,1.3551318645477295,11393.0
0,4,3,N21,1000,4.154288291931152,28013.0
0,4,3,12N,1000,4.323344469070435,11393.0
0,4,4,solver,-1,0.4785914421081543,16273.0
0,4,4,random,1000,1.5801279544830322,26510.0
0,4,4,PDF,1000,1.789522409439087,16273.0
0,4,4,BIC,1000,2.943580150604248,16273.0
0,4,4,N21,1000,7.4794018268585205,29177.0
0,4,4,12N,1000,8.405392169952393,32630.0
0,4,5,solver,-1,0.8227980136871338,23712.0
0,4,5,random,1000,2.2739503383636475,43496.0
0,4,5,PDF,1000,2.693824529647827,24314.0
0,4,5,BIC,1000,3.9714577198028564,23712.0
0,4,5,N21,1000,11.685027837753296,38226.0
0,4,5,12N,1000,10.60946249961853,34795.0
0,4,6,solver,-1,1.7059190273284912,30992.0
0,4,6,random,1000,3.0496883392333984,53929.0
0,4,6,PDF,1000,3.3588132858276367,36508.0
0,4,6,BIC,1000,5.63906455039978,30992.0
0,4,6,N21,1000,16.6157169342041,59366.0
0,4,6,12N,1000,16.533859729766846,40254.0
0,4,7,solver,-1,3.463499069213867,38238.0
0,4,7,random,1000,3.3325629234313965,66332.0
0,4,7,PDF,1000,4.922815322875977,44697.0
0,4,7,BIC,1000,6.606057643890381,38238.0
0,4,7,N21,1000,21.48869276046753,72356.0
0,4,7,12N,1000,21.44442844390869,73162.0
0,4,8,solver,-1,9.744540929794312,43631.0
0,4,8,random,1000,4.378977537155151,79762.0
0,4,8,PDF,1000,6.037098407745361,57246.0
0,4,8,BIC,1000,7.458627939224243,48008.0
0,4,8,N21,1000,27.377997398376465,75678.0
0,4,8,12N,1000,23.335320234298706,87671.0
0,4,9,solver,-1,7.150161504745483,40651.0
0,4,9,random,1000,4.871651887893677,78644.0
0,4,9,PDF,1000,6.006905794143677,51895.0
0,4,9,BIC,1000,7.2886269092559814,42141.0
0,4,9,N21,1000,33.394426345825195,87580.0
0,4,9,12N,1000,31.29863929748535,72615.0
0,5,3,solver,-1,0.17253780364990234,15464.0
0,5,3,random,1000,1.281203269958496,21224.0
0,5,3,PDF,1000,1.2838785648345947,17248.0
0,5,3,BIC,1000,2.191122055053711,15464.0
0,5,3,N21,1000,5.841569662094116,39152.0
0,5,3,12N,1000,6.597707271575928,21030.0
0,5,4,solver,-1,0.9463913440704346,23712.0
0,5,4,random,1000,2.1240286827087402,44509.0
0,5,4,PDF,1000,2.646141290664673,23734.0
0,5,4,BIC,1000,4.142112493515015,23712.0
0,5,4,N21,1000,11.044654846191406,47124.0
0,5,4,12N,1000,11.489558696746826,36357.0
0,5,5,solver,-1,1.469071865081787,30360.0
0,5,5,random,1000,3.481044054031372,58601.0
0,5,5,PDF,1000,4.0459630489349365,37325.0
0,5,5,BIC,1000,5.848198890686035,30360.0
0,5,5,N21,1000,17.318496704101562,57110.0
0,5,5,12N,1000,15.748339176177979,51729.0
0,5,6,solver,-1,3.619966506958008,34616.0
0,5,6,random,1000,4.0664894580841064,68483.0
0,5,6,PDF,1000,5.323086977005005,42383.0
0,5,6,BIC,1000,6.116851806640625,39769.0
0,5,6,N21,1000,26.97188663482666,58696.0
0,5,6,12N,1000,25.220877647399902,57299.0
0,5,7,solver,-1,15.6354398727417,42537.0
0,5,7,random,1000,5.144792556762695,76883.0
0,5,7,PDF,1000,8.375790119171143,49816.0
0,5,7,BIC,1000,8.422679662704468,47162.0
0,5,7,N21,1000,38.92692494392395,71258.0
0,5,7,12N,1000,30.420158863067627,65529.0
0,5,8,solver,-1,2.7642712593078613,40566.0
0,5,8,random,1000,6.36334228515625,88229.0
0,5,8,PDF,1000,6.699497938156128,57981.0
0,5,8,BIC,1000,8.034538984298706,48822.0
0,5,8,N21,1000,46.969531297683716,73486.0
0,5,8,12N,1000,36.122774839401245,78518.0
0,5,9,solver,-1,11.440686464309692,44337.0
0,5,9,random,1000,7.281361103057861,107606.0
0,5,9,PDF,1000,9.987414360046387,54303.0
0,5,9,BIC,1000,9.81641674041748,49297.0
0,5,9,N21,1000,55.66187047958374,92889.0
0,5,9,12N,1000,49.188000202178955,81425.0
0,6,3,solver,-1,0.6410906314849854,19134.0
0,6,3,random,1000,1.737354040145874,30754.0
0,6,3,PDF,1000,1.9716880321502686,19825.0
0,6,3,BIC,1000,3.332326889038086,19134.0
0,6,3,N21,1000,8.669667720794678,36344.0
0,6,3,12N,1000,8.824543237686157,23946.0
0,6,4,solver,-1,2.132451057434082,28796.0
0,6,4,random,1000,3.035916566848755,53508.0
0,6,4,PDF,1000,3.847505569458008,33508.0
0,6,4,BIC,1000,5.40027642250061,28796.0
0,6,4,N21,1000,16.160421133041382,57175.0
0,6,4,12N,1000,14.980551481246948,49240.0
0,6,5,solver,-1,5.02864408493042,33652.0
0,6,5,random,1000,3.5682168006896973,68258.0
0,6,5,PDF,1000,5.502100706100464,39355.0
0,6,5,BIC,1000,7.204471111297607,33652.0
0,6,5,N21,1000,25.670268297195435,70951.0
0,6,5,12N,1000,26.58846950531006,56235.0
0,6,6,solver,-1,12.829695701599121,44951.0
0,6,6,random,1000,7.022414445877075,75830.0
0,6,6,PDF,1000,8.997497797012329,55614.0
0,6,6,BIC,1000,9.315282106399536,45400.0
0,6,6,N21,1000,36.605257749557495,78883.0
0,6,6,12N,1000,34.055235624313354,77781.0
0,6,7,solver,-1,23.565950870513916,47686.0
0,6,7,random,1000,7.922432899475098,84724.0
0,6,7,PDF,1000,10.276668787002563,60134.0
0,6,7,BIC,1000,8.575080156326294,52876.0
0,6,7,N21,1000,51.534868478775024,91501.0
0,6,7,12N,1000,41.38400411605835,81581.0
0,6,8,solver,-1,16.509681701660156,48734.0
0,6,8,random,1000,8.303623914718628,99094.0
0,6,8,PDF,1000,11.35487151145935,65423.0
0,6,8,BIC,1000,10.780248165130615,56004.0
0,6,8,N21,1000,65.99041676521301,86809.0
0,6,8,12N,1000,58.1809241771698,93419.0
0,6,9,solver,-1,23.682013511657715,49633.0
0,6,9,random,1000,10.531795740127563,126924.0
0,6,9,PDF,1000,13.673650979995728,72028.0
0,6,9,BIC,1000,11.545785188674927,61995.0
0,6,9,N21,1000,82.19512605667114,109766.0
0,6,9,12N,1000,59.63289499282837,116166.0
0,7,3,solver,-1,0.949653148651123,24118.0
0,7,3,random,1000,2.5598480701446533,48339.0
0,7,3,PDF,1000,2.9266581535339355,28839.0
0,7,3,BIC,1000,5.7167863845825195,24263.0
0,7,3,N21,1000,11.732369661331177,52205.0
0,7,3,12N,1000,12.181577682495117,33626.0
0,7,4,solver,-1,4.271129608154297,36637.0
0,7,4,random,1000,3.6996734142303467,73123.0
0,7,4,PDF,1000,3.967010498046875,50488.0
0,7,4,BIC,1000,6.269365072250366,36637.0
0,7,4,N21,1000,22.835683584213257,60876.0
0,7,4,12N,1000,22.996687173843384,56849.0
0,7,5,solver,-1,10.047361612319946,44390.0
0,7,5,random,1000,5.486521244049072,79062.0
0,7,5,PDF,1000,7.458141326904297,50599.0
0,7,5,BIC,1000,8.566425085067749,47812.0
0,7,5,N21,1000,34.46401047706604,79593.0
0,7,5,12N,1000,32.05645561218262,66842.0
0,7,6,solver,-1,49.25087785720825,51840.0
0,7,6,random,1000,7.599944591522217,88883.0
0,7,6,PDF,1000,10.276501178741455,60080.0
0,7,6,BIC,1000,9.729899168014526,56452.0
0,7,6,N21,1000,49.1423556804657,86688.0
0,7,6,12N,1000,41.08637022972107,80547.0
0,7,7,solver,-1,30.402125597000122,52649.0
0,7,7,random,1000,8.86872673034668,108534.0
0,7,7,PDF,1000,12.832229614257812,69244.0
0,7,7,BIC,1000,11.475073099136353,61279.0
0,7,7,N21,1000,69.96881651878357,84864.0
0,7,7,12N,1000,55.06634974479675,92497.0
0,7,8,solver,-1,19.13796067237854,48797.0
0,7,8,random,1000,10.810967206954956,110204.0
0,7,8,PDF,1000,14.231167316436768,75950.0
0,7,8,BIC,1000,13.389855146408081,63175.0
0,7,8,N21,1000,90.28291487693787,123303.0
0,7,8,12N,1000,63.22923445701599,98041.0
0,7,9,solver,-1,272.27316069602966,62762.0
0,7,9,random,1000,12.490559339523315,148202.0
0,7,9,PDF,1000,16.431580781936646,90909.0
0,7,9,BIC,1000,13.262691497802734,72556.0
0,7,9,N21,1000,106.16074228286743,126070.0
0,7,9,12N,1000,75.19129180908203,131513.0
0,8,3,solver,-1,1.6256051063537598,29138.0
0,8,3,random,1000,2.9046173095703125,51307.0
0,8,3,PDF,1000,3.164701223373413,34907.0
0,8,3,BIC,1000,5.00308632850647,29138.0
0,8,3,N21,1000,13.918522357940674,55998.0
0,8,3,12N,1000,16.2042133808136,40650.0
0,8,4,solver,-1,8.655454158782959,40613.0
0,8,4,random,1000,4.623934984207153,64196.0
0,8,4,PDF,1000,5.749984979629517,46438.0
0,8,4,BIC,1000,7.214252471923828,40613.0
0,8,4,N21,1000,27.021150588989258,74248.0
0,8,4,12N,1000,27.329678535461426,51918.0
0,8,5,solver,-1,13.015944480895996,42504.0
0,8,5,random,1000,6.238781690597534,85506.0
0,8,5,PDF,1000,8.784841537475586,49596.0
0,8,5,BIC,1000,9.27527666091919,48433.0
0,8,5,N21,1000,41.22338652610779,79476.0
0,8,5,12N,1000,41.0529146194458,63299.0
0,8,6,solver,-1,88.17020797729492,55592.0
0,8,6,random,1000,8.354266881942749,100230.0
0,8,6,PDF,1000,10.405102491378784,80160.0
0,8,6,BIC,1000,9.936489820480347,63931.0
0,8,6,N21,1000,59.47316288948059,101619.0
0,8,6,12N,1000,55.581220626831055,90996.0
0,8,7,solver,-1,230.15249371528625,60274.0
0,8,7,random,1000,11.225765943527222,114615.0
0,8,7,PDF,1000,16.521134853363037,84996.0
0,8,7,BIC,1000,14.134434223175049,69484.0
0,8,7,N21,1000,86.58894443511963,111061.0
